Soins de stomie normale;Elimination;10415;B;15;"installer le client
 mettre des gants
 mettre une protection sous le client
 enlever la poche de stomie
 nettoyer et sécher la peau autour de la stomie
 appliquer crème ou onguent
 remettre la poche de stomie";let. b ch. 11;1
Soins d’urostomie;Elimination;10405;B;16;"installer le client
 mettre des gants
 mettre une protection sous le client
 enlever le sac de stomie
 nettoyer et sécher la peau autour de la stomie
 appliquer des produits pour la peau, si indiqué
 remettre un sac de stomie neuf";let. b ch. 11;1
Stimulation manuelle de la vessie;Elimination;10403;B;7;"installer et préparer le client
 mettre des gants
 mettre une protection sous le client ou l’urinal
 percussion de la vessie jusqu’à vidage complet
 vider l’urinal et enlever la protection";let. b ch. 11;1
Urinal;Elimination;10402;C;5;"préparation du client (ôter les sous-vêtements), toilette intime si nécessaire
 mettre des gants
 apporter, positionner, enlever et vider l’urinal / bassin / vase
 évaluer le contenu de l’urinal
 aider le client à se nettoyer";let. c ch. 1;1
Vider la poche de stomie;Elimination;10414;B;8;"installer le client
 mettre des gants
 enlever la poche de stomie
 contrôler la peau
 mettre une nouvelle poche";let. b ch. 11;1
Première évaluation;Evaluation - Conseil - Coordination;10901;A;60;"évaluation à l’aide des formulaires en vigueur à imad
 évaluation ciblée à l’aide d’instruments évalués scientifiquement (ex. ESAS)";let. a ch. 1;1
Réévaluation;Evaluation - Conseil - Coordination;10902;A;60;"évaluation à l’aide des formulaires en vigueur à imad
 évaluation ciblée à l’aide d’instruments évalués scientifiquement (ex. ESAS)
 récolte supplémentaire de données relatives à l’anamnèse
 ce point englobe l’analyse de la situation du client sur la base de l’évaluation,
 la détermination des objectifs et des interventions d’aide et de soins qui sont
 nécessaires, ainsi que la planification des intervenants";let. a ch. 1;1
Consulter médecin au sujet du client;Evaluation - Conseil - Coordination;10907;A;11;"informer le médecin traitant des conclusions et opinions du service au
 sujet du client, afin d’assurer sa prise en charge et son traitement de façon
 interdisciplinaire
 examiner la situation du client avec le médecin
 actualiser les prescriptions médicales";let. a ch. 2;1
Bilan de l’évolution de l’état de santé;Evaluation - Conseil - Coordination;10906;A;15;"évaluer l’état de santé global et adapter le plan de soins de manière continue
 quantification prospective de l’aide et des soins découlant de l’évaluation des
 besoins, à l’aide du catalogue des prestations
 préparer / adapter la documentation pour accord du médecin traitant";let. a ch. 2;1
Établir un plan d’intervention pour les soins;Evaluation - Conseil - Coordination;10904;A;30;Ce point englobe l’analyse de la situation du client sur la base de l’évaluation, la détermination des objectifs et des interventions d’aide et de soins qui sont nécessaires;let. a ch. 1;1
Établir un plan d’intervention complémentaire pour les soins;Evaluation - Conseil - Coordination;10999;A;30;"analyse complémentaire lors de situations complexes :
- compléter l’analyse clinique
- consolider les objectifs
- planifier les interventions";let. a ch. 1;1
Coordination;Evaluation - Conseil - Coordination;10912;A;0;"identification et évaluation des situations complexes et instables
 identification et détermination du rôle de coordination avec un objectif défini
 coordination ciblée avec plusieurs personnes impliquées en dehors de sa
 propre organisation, visant à optimiser les soins et le traitement
 documentation des mesures fixées qui résultent de la coordination (p.ex. procès-verbal de décisions)
 plan de soins et mise en œuvre des mesures visant à éviter les complications
 monitoring de la coordination";let. a ch. 3;1
Coordination proactive;Evaluation - Conseil - Coordination;10999;A;0;"identification et évaluation des situations complexes et stables
 identification et détermination du rôle de coordination avec un objectif défini
 coordination ciblée avec plusieurs personnes impliquées en dehors de sa
 propre organisation, visant à prévenir une dégradation de la situation
 documentation des mesures fixées qui résultent de la coordination (p.ex. procès-verbal de décisions)
 plan de soins et mise en œuvre des mesures visant à éviter les complications";let. a ch. 3;1
Instructions / conseils au sujet des soins à la cliente ou à ses proches;Evaluation - Conseil - Coordination;10909;A;15;"instructions / conseils au client ou à ses proches en vue de l’acquisition de la
 capacité à accomplir certains soins (par ex : faire un pansement, une injection
 du type Fraxiparine ou insuline pour diabétique, des exercices respiratoires,
 les soins de stomie ou de cathéter, le contrôle des symptômes et leur documentation, etc.)
 vérifier que ces instructions ont été comprises et correctement appliquées";let. a ch. 2;1
Aider à l’habillage (déshabillage);Hygiène - Confort;10114;C;15;"préparer les habits
 aider à l’habillage / déshabillage
 s’occuper des habits, les entretenir";let. c ch. 1;1
Bas / bandages de compression;Hygiène - Confort;10115;C;10;"contrôle de la peau
 mettre / enlever les bas ou bandages de compression
 hydrater la peau
 mettre les bas / pantalons";let. c ch. 1;1
Brosser les dents;Hygiène - Confort;10112;C;5;"nettoyer les dents et la bouche
 nettoyer les prothèses (au besoin)";let. c ch. 1;1
Hygiène buccale (p.ex. des situations palliatifs);Hygiène - Confort;10113;C;10;"hygiène buccale pour client chez qui un brossage normal des dents est
 impossible
 nettoyer les dents et la bouche
 nettoyer les prothèses (au besoin)
 humecter les muqueuses";let. c ch. 1;1
Laver les cheveux;Hygiène - Confort;10107;C;15;"préparer le client dans son lit ou devant le lavabo
 laver les cheveux
 appliquer une lotion capillaire, frictionner et sécher (au besoin)
 sécher avec sèche-cheveux
 peigner / coiffer
 réinstaller le client confortablement";let. c ch. 1;1
Rasage (combiné avec toilette complète ou partielle);Hygiène - Confort;10106;C;10;"raser à sec ou avec crème
 soigner la peau, appliquer une lotion";let. c ch. 1;1
Soins des ongles (mains);Hygiène - Confort;10108;C;15;"laver les mains du client
 couper, nettoyer, limer les ongles
 désinfecter les ongles (au besoin)
 appliquer une lotion ou crème";let. c ch. 1;1
Soins des ongles (pieds chez diabétique);Hygiène - Confort;10110;B;20;"laver les pieds du client
 nettoyer, limer les ongles
 désinfecter les ongles
 appliquer une lotion ou crème
 contrôle de la peau des pieds et soins des éventuelles petites lésions";let. b ch. 10;1
Soins des ongles (pieds);Hygiène - Confort;10109;C;15;"laver les pieds du client
 couper (pieds sains), nettoyer les ongles
 désinfecter les ongles
 appliquer une lotion ou crème";let. c ch. 1;1
